precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MITULEŢU DOREL-PARTIDUL NAȚIONAL LIBERAL-voturi","COTEA MIHAI-PARTIDUL SOCIAL DEMOCRAT-voturi","CIOBANU LUCIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","VOINIC MIHĂIŢĂ-UNIUNEA SALVAȚI ROMÂNIA-voturi"
17,DOLJ,"CAMINUL CULTURAL BASARABI (DIN CADRUL CASEI DE CULTURA CALAFAT )",197,"MUNICIPIUL CALAFAT",70352,5,PART,PRCNCT,P,P_SV,"2024-06-10 11:01:58",840,826,4,8,2,525,515,0,8,2,511,14,1000,475,191,287,25,8
17,DOLJ,"CAMINUL CULTURAL CIUPERCENII VECHII ( DIN CADRUL CASEI DE CULTURA CALAFAT )",198,"MUNICIPIUL CALAFAT",70352,2,PART,PRCNCT,P,P_SV,"2024-06-10 15:17:12",1719,1712,1,3,3,948,942,0,3,3,911,37,1900,952,457,415,30,9
17,DOLJ,"LICEUL TEORETIC INDEPENDENTA",191,"MUNICIPIUL CALAFAT",70352,5,PART,PRCNCT,P,P_SV,"2024-06-10 16:21:11",1827,1804,2,15,6,1016,995,0,15,6,974,42,1900,883,349,562,43,20
17,DOLJ,"SC. GENERALA NR. 1 CALAFAT",190,"MUNICIPIUL CALAFAT",70352,1,PART,PRCNCT,P,P_SV,"2024-06-10 18:50:39",1441,1408,3,13,17,791,760,1,13,17,777,12,1527,738,323,374,61,19
17,DOLJ,"ŞCOALA GENERALĂ CONSTANTIN GEROTĂ (NR. 2)-LOCAL NOU",195,"MUNICIPIUL CALAFAT",70352,5,PART,PRCNCT,P,P_SV,"2024-06-10 14:03:28",1529,1512,0,12,5,738,721,0,12,5,717,19,1600,864,308,353,47,9
17,DOLJ,"ŞCOALA GENERALĂ CONSTANTIN GEROTĂ(NR. 2)-LOCAL NOU",196,"MUNICIPIUL CALAFAT",70352,5,PART,PRCNCT,P,P_SV,"2024-06-10 12:59:19",1625,1613,1,8,3,803,791,1,8,3,785,18,1800,997,306,414,41,24
17,DOLJ,"ŞCOALA GENERALĂ CONSTANTIN GEROTĂ (NR.2)-LOCAL VECHI",194,"MUNICIPIUL CALAFAT",70352,5,PART,PRCNCT,P,P_SV,"2024-06-10 13:56:15",1607,1574,3,30,0,754,724,0,30,0,740,14,1800,1046,310,353,59,18
17,DOLJ,"ŞCOALA GENERALĂ CONSTANTIN GEROTĂ (NR.2)-LOCAL VECHI",193,"MUNICIPIUL CALAFAT",70352,4,PART,PRCNCT,P,P_SV,"2024-06-10 14:11:36",1751,1737,2,12,0,832,820,0,12,0,789,43,1900,1068,386,338,50,15
17,DOLJ,"ŞCOALA GIMNAZIALĂ GHEORGHE BRĂESCU-GRĂDINIŢA CU PROGRAM NORMAL NR. 4",192,"MUNICIPIUL CALAFAT",70352,5,PART,PRCNCT,P,P_SV,"2024-06-10 11:56:25",1388,1376,1,9,2,714,703,0,9,2,678,36,1500,786,265,350,43,20
17,DOLJ,"ŞCOALA GOLENŢI",199,"MUNICIPIUL CALAFAT",70352,5,PART,PRCNCT,P,P_SV,"2024-06-10 13:18:29",391,383,0,5,3,225,217,0,5,3,213,1,500,275,98,97,11,7
