precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
3,ARGEŞ,"ŞCOALA GENERALĂ COSTEŞTI - VÎLSAN",406,MUŞĂTEŞTI,17619,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:47:51",526,511,0,10,5,301,286,0,10,5,284,17,570,269,71,4,20,164,6,2,0,17
3,ARGEŞ,"ŞCOALA GENERALĂ STROEŞTI",408,MUŞĂTEŞTI,17619,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:45:17",840,812,0,13,15,569,541,0,13,15,541,28,910,341,220,10,47,204,6,21,14,19
3,ARGEŞ,"ȘCOALA GIMNAZIALĂ CU CLASELE I-VIII",407,MUŞĂTEŞTI,17619,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:52:01",1175,1139,0,19,17,796,760,0,19,17,769,27,1247,450,285,28,50,265,84,4,33,20
3,ARGEŞ,"SEDIUL PRIMĂRIEI VECHI - VILSĂNEȘTI",405,MUŞĂTEŞTI,17619,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:10:56",449,437,0,5,7,262,250,0,5,7,234,28,479,217,85,15,19,69,12,1,2,31
